Vessel Name,Call No,Order,Seq,Voyage Status,Port Name,Port Func,BL Code,BL Quantity,BL Date,Cargo Short Name,Arrival Local,Departure Local,Flag,Port Days,Sea Days,Port & Sea Days,Commence Date Gmt,Complete Date Gmt,total voyage days,Vessel Code,LS Sea Days,Total Sea Days,Total Port Days,Ownership,Cargo Group,Port Region,ETB,FunctionName,Region Code
AMILLA,AMILL-2,300,300,Completed,RIO HAINA,D,,38000.317,,nickel ore,2023-03-30T12:00:00,2023-04-04T23:54:00,,5.49583333333333,0.0,5.49583333333333,2023-03-14T00:01:00,2023-04-05T03:54:00,22.1618055416,AMILL,0.765668697418045,13.1666666666667,8.99513888888889,Time Charter,OTHER BULK,Caribbean,2023-03-30T14:48:00,DISCHARGING,SAMR
AMILLA,AMILL-1,500,500,Completed,LAGOS (NIGERIA),D,,54025.32,,wheat rmw,2023-02-23T08:00:00,2023-03-07T16:30:00,,12.3541666666667,0.0,12.3541666666667,2023-01-19T17:00:00,2023-03-07T15:30:00,46.9375,AMILL,0.980128205128205,21.3451388888889,25.5923611111111,Time Charter,GRAINS,W Africa,2023-02-23T23:54:00,DISCHARGING,AFRA
AMIS QUEEN,AMIQU-1,500,600,Completed,PORT ELIZABETH,D,,19673.88,,sbm gen,2025-02-14T15:00:00,2025-02-20T23:36:00,,6.35833333333333,0.0,6.35833333333333,2025-01-19T10:50:00,2025-02-20T21:36:00,32.4486110833,AMIQU,0.0,15.6819444444444,16.7666666666667,Time Charter,GRAINS,S Africa,2025-02-14T20:42:00,DISCHARGING,AFRA
AMIS QUEEN,AMIQU-1,300,400,Completed,CAPE TOWN,D,,18876.9,,sbm gen,2025-02-06T23:54:00,2025-02-13T03:30:00,,6.15,1.47916666666667,7.62916666666667,2025-01-19T10:50:00,2025-02-20T21:36:00,32.4486110833,AMIQU,0.0,15.6819444444444,16.7666666666667,Time Charter,GRAINS,S Africa,2025-02-09T17:06:00,DISCHARGING,AFRA
AMIS QUEEN,AMIQU-1,200,200,Completed,SAN LORENZO-SAN MARTIN,L,,38499.67,,sbm gen,2025-01-20T13:18:00,2025-01-24T19:30:00,,4.25833333333333,12.975,17.2333333333333,2025-01-19T10:50:00,2025-02-20T21:36:00,32.4486110833,AMIQU,0.0,15.6819444444444,16.7666666666667,Time Charter,GRAINS,E South America,2025-01-21T20:12:00,LOADING,SAMR
AMIS STAR,AMIST-1,200,200,Completed,KLAIPEDA,L,,55000.0,2023-10-01T00:00:00,wheat rmw,2023-09-24T21:00:00,2023-10-02T02:30:00,,7.22916666666667,10.7541666666667,17.9833333333333,2023-09-23T09:36:00,2023-11-02T16:48:00,40.3,AMIST,2.975,21.3125,18.9875,Time Charter,GRAINS,Baltic,2023-09-28T13:00:00,LOADING,EURO
AMIS STAR,AMIST-1,500,500,Completed,LAGOS (NIGERIA),D,,55000.0,2023-11-02T00:00:00,wheat rmw,2023-10-22T12:12:00,2023-11-02T17:48:00,,11.2333333333333,0.0,11.2333333333333,2023-09-23T09:36:00,2023-11-02T16:48:00,40.3,AMIST,0.0,21.3125,18.9875,Time Charter,GRAINS,W Africa,2023-10-22T16:54:00,DISCHARGING,AFRA
AMIS STAR,AMIST-1,400,800,Completed,TENERIFE,F,,,,,2023-10-12T18:36:00,2023-10-13T07:12:00,,0.525,9.20833333333333,9.73333333333333,2023-09-23T09:36:00,2023-11-02T16:48:00,40.3,AMIST,0.965277777777778,21.3125,18.9875,Time Charter,,NW Africa,2023-10-12T18:36:00,FUELING,EURO
ANDREAS K,ANDRK-1,1100,1100,Completed,SETE,D,,45500.0,,canola,2021-12-06T14:00:00,2021-12-14T17:50:00,,8.15972222222222,0.0,8.15972222222222,2021-09-15T13:30:00,2021-12-14T16:50:00,90.138888875,ANDRK,0.0,48.1625,41.9763888888889,Time Charter,GRAINS,Mediterranean,2021-12-06T18:42:00,DISCHARGING,EURO
ANDREAS K,ANDRK-1,200,200,Completed,VANCOUVER (CANADA),L,,45500.0,,canola,2021-10-01T10:36:00,2021-10-20T09:36:00,,18.9583333333333,14.1916666666667,33.15,2021-09-15T13:30:00,2021-12-14T16:50:00,90.138888875,ANDRK,0.0,48.1625,41.9763888888889,Time Charter,GRAINS,W Canada,2021-10-09T15:10:00,LOADING,NAMR
ANDREAS K,ANDRK-1,800,800,Completed,PANAMA CANAL,I,,,,,2021-11-03T16:12:00,2021-11-17T17:18:00,,14.0458333333333,15.425,29.4708333333333,2021-09-15T13:30:00,2021-12-14T16:50:00,90.138888875,ANDRK,0.0,48.1625,41.9763888888889,Time Charter,,E Panama,2021-11-03T16:12:00,CANAL TRANSIT,SAMR
